PPO_step,PPO_cost,PPO_len,PPO_Lag_step,PPO_Lag_cost,PPO_Lag_len
247,91.06292725,250,453,3.235491037,24
248,365.9173889,250,454,3.463196278,26
250,197.5985565,250,457,3.656489372,37
253,220.0397186,250,461,3.047788143,22
254,108.1887512,250,462,4.502169132,37
255,32.93985748,250,466,4.191269398,43
258,25.68172455,250,467,3.665606499,35
259,106.056282,250,469,3.436613083,26
260,33.41308212,250,471,3.225476742,27
261,25.94943237,250,475,3.966652632,27
263,170.6324463,209,476,3.070468903,29
264,162.3598022,197,479,3.022210836,24
269,619.8269043,232,481,4.110379219,40
271,184.3406219,220,482,2.612590551,25
272,342.9332581,243,484,3.484079838,32
275,450.5228882,250,485,3.576462507,30
276,11.97890282,250,488,4.051378727,34
277,27.35943222,250,489,3.533754587,38
279,107.5407562,250,490,3.497034073,29
280,31.18030548,250,492,2.638689518,22
281,464.2696228,250,495,3.808694839,37
282,215.7770996,250,499,3.277837753,30
283,922.6235352,222,503,3.054545164,23
284,307.9925232,181,504,2.685480595,22
285,922.6025391,235,510,3.878376007,32
286,775.1654663,215,511,3.861842871,33
288,643.1330566,240,512,2.959780216,27
289,775.8301392,248,513,3.624270916,36
291,396.6545715,207,514,3.926331282,40
292,963.8413696,228,515,3.670289993,35
296,877.4837036,223,518,3.021573782,25
297,390.3399048,222,519,3.443775177,31
298,293.0486755,250,520,3.789809227,34
299,411.9837646,215,524,3.584543943,33
300,554.1115112,200,534,2.716414452,25
301,556.3897705,250,535,4.184420586,34
305,444.8774109,250,537,3.036966801,25
306,425.8599854,232,538,4.170441151,56
307,418.9436951,250,539,3.696160793,25
308,488.5692444,207,541,3.866548538,43
309,260.0857849,250,543,3.980811119,44
310,162.0010529,250,545,3.703351736,31
313,228.4860382,250,547,4.17454052,27
314,126.8675842,250,548,3.10514617,27
315,818.3450928,250,551,3.714758396,36
316,297.5358887,250,553,3.951243162,35
317,34.56118393,250,556,3.377627373,25
319,23.11809158,250,557,4.66394043,46
320,186.7057648,250,563,5.435185432,51
323,141.5324554,250,564,4.134106159,42
325,71.93746185,250,565,3.57874918,32
328,744.5745239,240,569,3.283693552,36
330,167.8969879,250,572,4.00843811,34
331,108.3447952,250,574,3.04645443,26
332,363.6369934,249,577,3.43805933,29
333,420.7549744,234,581,3.620133162,34
334,249.8655701,250,585,4.752861977,49
338,458.8544922,250,586,3.184823275,24
339,519.2866821,250,589,3.542746782,42
341,608.0150757,250,591,3.553100824,27
343,554.5936279,250,592,4.427418232,40
344,169.4629517,250,595,3.141311884,32
345,342.5372009,250,597,6.495025158,84
346,122.3053436,250,599,4.10806179,37
347,248.0093079,250,600,4.511133671,51
349,275.6354065,250,603,4.74304533,50
350,60.88111877,250,604,5.393460751,73
351,255.8507538,250,609,2.717934132,23
353,491.1180725,250,614,3.480094433,22
354,766.1481323,250,615,3.367670536,30
355,676.7215576,250,617,3.53686738,30
356,1185.148682,250,621,3.330379009,31
358,1091.255981,250,623,3.479895353,34
359,496.6063538,250,624,3.460776329,42
361,493.6052856,250,627,3.512593746,40
362,561.5292358,250,629,3.987036943,34
363,1083.220947,250,630,3.629217625,36
364,323.2666016,250,634,2.939771175,28
365,82.36657715,250,638,3.38178134,32
366,216.2463837,250,641,2.553655863,23
367,72.03046417,250,642,4.254217148,39
368,337.0835266,250,643,3.511249781,36
369,258.9220886,250,644,5.914965153,71
370,475.7142029,250,645,2.897593021,23
375,489.4857178,250,650,2.757173777,24
376,280.3197327,250,652,3.587502241,35
378,132.7739105,250,653,3.552488565,33
379,659.6948242,250,655,3.916112423,23
383,44.20326233,250,656,3.072947264,27
385,75.00480652,250,659,3.723034859,40
386,214.9612579,250,661,3.47952652,36
387,181.0752716,250,668,3.81907773,36
390,29.23642349,250,671,6.839792252,68
391,76.99147797,250,676,3.988925695,52
392,41.28673172,250,677,4.061517715,46
393,100.5820999,250,681,3.750893593,37
394,27.39100647,250,683,3.94584465,33
395,38.00798035,250,684,3.36362195,33
396,63.18643188,250,685,4.204878807,51
397,132.8511505,250,688,3.650615692,36
398,501.3423462,250,693,4.770148277,51
399,184.3600922,250,695,4.396667004,50
400,333.4520264,250,697,4.060294151,42
401,18.55462074,250,698,4.125859261,36
402,56.35762024,250,700,4.235365868,36
403,16.25333786,250,703,5.363431931,57
405,210.9361572,250,704,4.26710701,49
407,378.151001,250,706,3.623131037,33
408,265.6088257,250,711,4.020000935,40
409,103.4667358,250,713,4.131031513,46
410,49.30653381,250,716,4.615664959,42
413,274.1726379,250,718,3.717935562,40
414,562.1243896,250,721,3.283149004,36
415,1109.612305,250,722,4.587772846,47
416,393.8837585,250,724,7.230614662,73
419,1233.778687,236,726,5.231782436,52
420,728.8400269,250,727,8.880414963,83
422,700.0689087,227,729,3.75311923,41
423,501.2065125,231,730,4.015289783,46
426,1360.425903,229,732,3.545370579,36
427,183.7320709,144,733,6.034019947,71
428,723.5300903,230,734,3.74151516,36
430,100.6718674,135,739,3.43291378,31
431,240.6082916,155,743,3.870606661,42
432,855.6856689,214,745,4.126605988,49
435,707.7780151,250,757,3.675075769,38
436,741.1812134,224,759,4.572965145,61
437,592.5195923,211,765,3.993741274,46
438,1217.868286,213,766,3.621771574,46
439,1158.219604,246,769,7.835690022,84
440,474.7207642,250,770,3.476389408,34
441,1173.391113,215,773,3.81396389,38
442,1053.240234,223,776,3.330663204,41
444,231.5437927,250,777,3.751185179,40
445,421.6628113,250,779,4.784368038,48
446,564.142334,250,780,5.139574528,53
447,584.8382568,250,781,8.552978516,91
451,792.6448364,250,782,3.527471781,36
452,1276.03894,250,783,4.027955055,39
453,1103.59668,243,789,4.268054008,48
454,1278.516602,242,792,4.178528309,54
455,303.321991,153,805,4.077612877,38
457,359.4612427,174,806,5.599226475,55
459,1262.61145,248,807,4.200694084,45
461,498.367218,196,808,3.394379616,34
462,323.240509,250,811,3.30060935,31
463,171.7415771,135,819,5.453602791,57
465,1368.036865,250,820,3.47015357,32
466,304.1010742,250,828,3.899691343,38
467,109.3600388,250,829,3.369238615,29
469,377.0103149,250,833,4.505992413,44
471,360.2302551,250,834,3.683545113,38
472,802.3064575,250,836,3.376926661,32
474,395.2084351,250,837,3.281480312,32
475,1331.717529,250,840,3.646366119,33
476,649.6068115,250,841,3.216574192,29
479,542.0159912,250,844,3.839630365,40
480,968.9877319,250,846,2.943041086,30
481,152.5007935,250,851,5.192986488,53
482,416.98526,250,852,3.371161222,32
483,656.9508667,250,855,3.712003708,40
484,524.0996094,250,858,4.912304401,50
485,1030.610718,250,861,4.296508312,41
487,983.7756348,250,863,5.131154537,52
488,710.7857666,250,866,4.265702724,39
489,574.491394,250,867,4.713967323,45
490,469.9382324,250,871,3.41217804,28
491,70.58906555,250,872,3.84965682,35
492,38.37795258,250,885,3.679094553,40
495,211.2311401,250,886,3.929026127,37
496,72.6919632,250,887,4.131408691,42
498,179.8512726,250,891,3.73463583,47
499,248.2167206,250,893,4.934387207,61
500,142.8600311,250,896,3.239804029,30
502,291.2649841,250,898,4.433317184,43
503,289.4412231,250,899,8.484101295,78
504,461.9612122,250,902,4.065295219,40
507,119.0899658,250,903,4.574989796,47
508,70.41891479,250,908,3.859022141,34
509,125.1154556,250,909,3.843927145,34
510,205.2919922,250,911,3.448934793,33
511,78.19103241,250,912,3.840745211,35
512,142.9564514,250,915,3.449369192,35
513,97.53287506,250,919,4.185253143,35
514,34.3408165,250,920,3.569350243,31
515,50.97557449,250,922,6.812719822,67
517,17.37927246,250,929,3.521915197,36
518,116.8027725,250,931,4.262744427,37
519,122.4935989,250,932,5.746707916,70
520,221.8944092,250,933,3.194815874,26
521,326.4041138,250,936,3.756229877,32
522,70.44377899,250,940,3.536550283,32
524,211.383255,250,942,3.658041954,38
527,100.8480301,250,943,4.133647442,43
531,38.42874146,250,946,4.267890453,37
534,295.3334656,250,950,3.826332808,32
535,141.186142,250,953,4.175688744,43
536,169.6719818,250,956,4.232794762,39
537,253.8726654,250,961,3.822066069,33
538,286.0284424,250,964,4.015162945,36
539,351.6174622,250,966,3.788947582,35
540,464.0751038,250,968,3.652570724,37
541,456.9888916,250,969,3.878106833,34
542,202.542038,250,979,3.286257982,28
543,496.6256714,250,980,3.401090145,30
544,587.0055542,250,983,4.132754326,35
545,518.661438,250,987,4.337126732,55
547,585.7479248,250,991,3.711353064,38
548,673.2486572,250,993,4.797899723,49
551,267.9861145,250,995,4.908045769,49
553,235.9659576,250,997,4.045784473,38
554,205.1472626,250,999,4.152698517,35
555,368.5872803,250,1000,3.828927517,47
556,742.416626,250,1003,4.315259457,39
557,466.0636597,250,1004,3.702481508,36
559,467.1212769,250,1005,4.499520779,46
563,266.3485107,250,1007,4.534034729,41
564,301.5377808,250,1012,5.741765976,57
565,639.0072021,250,1014,4.630352974,46
567,205.3026428,250,1016,3.753220797,37
568,282.1391602,250,1023,3.894305706,37
569,267.0744019,250,1027,3.866683006,36
570,129.7183533,250,1029,3.976923227,39
572,265.5088806,250,1030,4.443046093,44
574,115.1468735,250,1036,4.382649899,39
577,113.339447,250,1037,4.05615139,32
581,329.2192688,250,1038,6.668156147,69
585,247.9263306,250,1039,4.54679203,41
586,179.2390594,250,1040,4.694615364,44
587,215.6083832,250,1044,5.490577698,65
589,131.182663,250,1047,4.311581612,43
590,300.7819214,250,1057,4.005274773,34
591,213.4746552,250,1059,4.649440289,49
592,386.5171814,250,1060,3.759124994,35
593,366.5446777,250,1061,4.165482998,51
595,554.8800049,250,1063,4.218624592,44
596,382.800415,250,1066,3.760605574,40
597,464.573822,250,1068,4.379389763,47
598,509.0172729,250,1070,4.001780033,45
599,320.1628418,250,1071,4.026028633,39
600,307.7557373,250,1072,4.4002285,41
602,420.8537292,250,1073,4.559359074,42
603,396.1226807,250,1074,3.497698307,32
604,393.2501526,250,1075,4.486420631,44
606,441.034729,250,1078,4.542399883,45
608,792.9076538,250,1081,4.431091309,43
609,789.5559082,250,1083,5.648958206,67
610,874.5246582,250,1086,4.006980896,45
611,750.9067383,250,1087,3.995508432,37
614,437.7773743,250,1088,4.032241344,42
615,732.6835327,250,1092,4.314763546,43
617,723.99823,250,1099,4.508245945,41
618,691.3046875,250,1101,4.83869791,51
619,1054.716431,250,1103,4.556120872,45
621,864.9104614,250,1104,4.36625576,53
623,753.9146118,250,1105,4.234817505,40
624,812.2019653,250,1108,3.993140936,37
626,902.0664673,250,1110,4.089823723,38
627,980.5453491,250,1112,3.964774847,41
628,805.6356201,250,1113,4.966303825,49
629,1032.598755,250,1115,3.951267481,36
630,810.2354736,250,1120,5.301042557,53
633,724.8352661,250,1122,4.270519733,48
634,901.9421387,250,1123,5.28098011,68
635,748.0120239,250,1126,4.975666046,52
636,773.4436646,250,1127,4.045528889,38
638,760.0151978,250,1129,4.846129417,48
641,585.3757324,250,1130,4.678918362,44
642,698.6453857,250,1133,4.576777458,49
643,447.8287964,250,1135,4.282980442,40
644,453.5059509,250,1136,4.336112499,51
645,629.0393677,250,1137,5.775179386,69
646,461.112915,250,1140,6.532241821,69
649,506.5622559,250,1147,5.024797916,49
650,648.1621704,250,1149,4.502062798,48
652,524.5876465,250,1151,5.32256937,57
653,559.4047852,250,1152,6.342099667,73
654,454.7450256,250,1153,5.195352554,55
655,623.2885742,250,1161,5.987822056,57
656,620.4335938,250,1163,4.699677467,51
659,789.3383789,250,1165,6.390870571,70
660,790.9888916,250,1168,6.417871952,71
661,654.3219604,250,1174,4.538360119,57
668,348.1529846,250,1175,6.092546463,73
670,235.3172302,250,1177,5.240932941,55
671,197.7515259,250,1178,6.863732815,71
674,107.4060745,250,1179,4.271541595,48
676,165.5465698,250,1183,4.173705578,46
677,182.1550751,250,1185,4.199793816,48
678,216.5917511,250,1187,4.389998913,44
679,216.5343018,250,1190,5.166540146,57
680,191.0263214,250,1191,4.465301514,53
681,226.2939148,250,1194,4.396197796,51
683,129.1906433,250,1195,6.733618259,67
684,132.4531555,250,1198,4.898916245,49
685,152.6491394,250,1206,4.447883606,53
686,64.89325714,250,1207,6.359179974,75
688,49.21251678,250,1208,4.07154417,47
689,78.38451385,250,1214,5.763889313,63
690,73.79787445,250,1215,5.951737881,63
691,122.0425797,250,1219,6.157304764,62
693,198.9632416,250,1224,7.023775578,72
694,131.5848541,250,1226,5.320240021,55
695,150.6525726,250,1230,4.745565414,60
696,138.9884644,250,1233,5.856094837,58
697,53.14986801,250,1239,4.779785156,54
698,102.6596298,250,1241,5.840747833,62
700,96.04979706,250,1245,5.348762035,67
703,190.5140076,250,1247,4.955168247,51
704,222.7194519,250,1250,4.957855701,53
706,237.5067444,250,1251,4.675765038,47
710,263.0437927,250,1252,5.874372959,60
711,235.1823883,250,1253,5.490773201,68
713,163.9983978,250,1255,6.019039154,62
714,289.5436707,250,1257,4.158745766,42
716,424.1199646,250,1258,4.696125507,49
718,380.4858704,250,1261,4.474755764,48
720,437.1105652,250,1262,8.090017319,79
721,389.0478516,250,1268,4.362377644,42
722,469.9934998,250,1272,4.54831028,46
724,614.8971558,250,1277,5.258003235,64
725,376.3341064,250,1278,6.120239258,62
726,484.8543091,250,1279,5.230111122,47
727,265.5369263,250,1283,5.812869072,62
728,318.0205078,250,1286,5.678097248,60
729,391.0588989,250,1291,7.078900337,72
730,407.6286621,250,1294,4.92615509,49
731,315.2001038,250,1299,5.942421436,65
732,169.7144775,250,1300,5.266685963,55
733,273.8190613,250,1303,6.975467682,71
734,240.9825897,250,1307,4.824338436,57
739,314.0924683,250,1311,5.691862583,57
740,302.5800781,250,1316,4.568979263,54
741,183.5618896,250,1321,5.770318508,59
743,533.3317261,250,1323,4.22756052,47
744,209.0232239,122,1326,7.319601536,74
745,431.0264893,250,1327,7.123033524,72
746,303.5070496,250,1329,4.961292267,57
747,263.1152649,250,1336,5.345042229,52
752,454.9732666,250,1346,5.236240864,54
753,823.013916,250,1349,4.958267212,59
756,530.8481445,250,1352,5.071825504,57
757,750.1384277,250,1353,5.379195213,60
759,469.7086792,250,1355,8.451062202,82
760,498.8027344,250,1361,6.912781715,70
764,685.3557129,250,1365,8.677872658,85
765,221.6888733,250,1366,5.962945461,68
766,323.7203064,250,1367,6.004457951,68
768,544.3796387,250,1368,6.711563587,74
769,471.4877014,250,1369,6.933815479,78
770,585.7473755,250,1376,4.71318531,54
771,286.883728,250,1377,5.654499531,62
772,404.3922119,250,1381,6.385760784,64
773,342.3996887,250,1386,5.266372204,55
774,428.2551575,250,1387,7.051220417,79
776,395.6016846,250,1391,5.585921288,56
777,438.1654053,250,1394,6.530930996,75
778,513.9848633,250,1398,4.861756802,52
779,456.425415,250,1418,4.864280701,49
780,661.6269531,250,1422,6.699894905,70
781,755.5002441,250,1432,5.391295433,56
782,533.9793091,250,1433,5.841751099,71
783,579.8673706,250,1437,5.589259148,65
784,814.0860596,250,1439,7.38381958,82
787,864.1386719,250,1440,5.906320095,65
789,1048.353394,250,1441,5.334085941,59
790,1019.246155,250,1442,5.120272636,52
792,696.8432617,250,1445,7.404490471,77
794,994.664856,250,1448,5.980266094,69
795,1323.187622,250,1450,6.129514217,67
796,1024.627197,250,1452,6.561423302,71
797,850.640564,250,1453,4.754641056,57
798,695.9730835,250,1456,5.85892725,61
800,666.1802979,250,1458,5.465518951,58
801,1054.616821,250,1459,5.483514309,51
805,893.4915771,250,1461,8.733901024,92
806,1056.972534,250,1462,5.032771587,60
807,1200.886353,250,1464,6.424584389,58
808,951.8347778,250,1471,4.374837399,50
811,915.729248,250,1474,5.602053165,55
812,874.074646,250,1475,5.334988594,54
814,731.1020508,250,1477,5.889801979,58
818,1006.667542,250,1484,5.968859673,67
819,168.5667877,108,1488,6.306161404,61
820,887.6294556,250,1491,5.690303326,57
821,223.2679138,107,1494,5.290783882,45
822,642.4838867,250,1495,5.590479851,58
823,836.3193359,250,1499,5.913310051,55
824,1234.949463,250,1500,5.961095333,66
825,255.6925201,122,1503,8.81891346,86
826,1253.735718,250,1510,6.056712627,61
827,1133.31897,250,1511,6.465939999,68
828,958.0019531,250,1512,5.741075993,63
829,1459.441528,250,1514,6.914819241,72
831,1438.454468,250,1516,5.152956009,53
833,7.776263714,32,1517,6.509029865,62
834,1064.374878,250,1524,4.955964088,51
836,351.28125,120,1529,5.547241211,55
837,1505.126709,250,1535,11.89596367,106
838,286.6295166,107,1538,6.018037796,65
840,318.4895325,120,1539,5.59177494,63
841,392.7026062,121,1542,6.80944252,69
843,447.1076965,126,1549,6.025986671,58
844,1486.184204,248,1552,5.221298695,58
846,242.8149414,106,1553,7.13645792,78
848,416.7096252,133,1554,6.300029755,64
851,333.046875,126,1563,5.872031689,61
852,578.3895874,146,1566,5.867433548,64
855,345.9530029,121,1567,7.164625645,69
857,1004.798584,250,1569,7.651276588,80
858,1070.783447,250,1571,8.45897007,80
859,636.1957397,250,1572,5.94826746,60
861,687.3120117,250,1573,10.48201084,99
862,1005.23584,250,1574,5.73060751,52
863,933.3624878,250,1577,7.173085213,71
866,877.2180786,250,1581,7.912005901,80
867,688.970459,250,1582,6.810489178,69
869,719.7476196,250,1586,7.885808945,79
871,781.010498,250,1591,6.047392845,61
872,585.3518677,250,1596,5.708490372,60
877,495.4198914,250,1597,6.983957291,71
878,483.3500977,250,1598,11.503479,103
881,403.9966736,250,1602,7.300869942,76
882,468.7991333,250,1603,7.390658855,69
883,505.053009,250,1604,6.287157059,65
884,433.134613,250,1612,8.7727108,84
885,566.9157715,250,1615,6.854092598,70
886,508.2553406,250,1617,5.65830183,52
887,347.1976318,250,1623,7.605479717,79
888,403.7393188,250,1625,6.339334965,60
889,363.1833801,250,1628,7.69802475,78
891,697.5330811,250,1632,9.432967186,93
893,610.0391235,250,1636,6.267654896,62
894,938.508606,250,1638,15.42850494,125
896,1232.591431,250,1641,9.487423897,93
898,1037.155884,250,1642,6.299373627,65
899,1124.208496,250,1647,9.699918747,92
902,858.3405151,250,1648,10.62884426,98
903,811.7528076,250,1652,9.363574982,90
905,1020.4729,250,1653,7.740087986,74
906,978.1522827,250,1654,6.815836906,66
907,1082.478516,250,1655,6.428141117,66
908,1468.988159,250,1657,5.847326279,62
909,1348.796265,250,1659,9.145118713,83
911,1099.915894,250,1663,8.807041168,84
912,878.56427,250,1665,6.57463932,61
914,824.8140869,250,1667,9.62665081,89
915,1010.362122,250,1670,14.00126266,121
917,1123.092896,250,1671,7.254261494,72
918,1259.488525,250,1675,9.869820595,90
919,1193.439575,250,1678,7.70370388,74
920,1111.963135,250,1680,6.327587128,59
921,1277.866089,250,1686,9.320810318,87
922,934.9910278,250,1687,7.587032318,75
924,1204.002441,250,1688,12.76462555,111
928,1570.512573,250,1689,7.589643478,72
929,1769.011719,250,1694,6.777043819,65
930,1166.833862,250,1695,6.553165913,65
931,1686.245605,250,1696,6.894349575,70
932,1385.826294,250,1700,7.34978199,74
933,1751.350952,250,1703,7.513053894,69
934,1817.861816,250,1705,7.285992622,70
935,1743.484375,250,1708,9.036120415,88
936,1760.915405,250,1710,8.734414101,83
940,1053.343262,171,1711,7.533163548,75
942,751.081604,145,1712,11.70386028,104
943,770.4019165,152,1713,6.015200615,58
946,1118.612671,164,1719,8.480852127,82
947,1257.918579,176,1723,10.9115696,97
948,2127.526367,250,1724,7.211135864,68
950,854.4398193,146,1725,6.801751614,65
951,677.9560547,137,1726,9.606338501,84
953,2403.881592,250,1731,8.358314514,78
955,1060.495117,164,1739,9.012742996,81
956,2610.036621,250,1740,9.393949509,84
957,1422.599487,189,1744,9.047507286,85
960,2446.807373,250,1746,8.711529732,75
961,2178.912842,250,1749,9.759692192,84
962,954.2879028,161,1751,13.86859035,102
963,951.5809326,157,1754,8.89585495,83
964,1016.816589,159,1755,7.826796532,70
965,1055.473145,165,1763,9.938853264,87
966,864.7964478,149,1764,8.512756348,73
968,986.350708,168,1766,16.43094635,119
969,17.74238396,51,1776,8.341651917,77
972,630.9680176,134,1778,7.901879311,74
977,1065.786011,171,1781,8.488595963,80
979,826.8108521,157,1785,10.66301441,95
980,940.3220825,156,1786,7.614610195,68
981,786.1795654,148,1787,7.265436172,63
982,771.8353882,141,1790,9.228464127,84
983,658.1392822,131,1793,14.47666454,100
984,731.9362183,139,1795,17.12965584,129
987,11.06964779,41,1797,7.138119221,68
988,39.87347031,75,1801,10.2935276,88
989,8.657637596,40,1803,7.541764736,71
990,1178.689819,175,1809,7.723707676,71
991,695.331665,157,1811,6.722549915,67
993,721.1591797,140,1820,10.88392544,95
995,804.3563232,149,1824,16.20716286,120
996,782.9578247,142,1827,8.12575531,76
997,754.6460571,147,1828,18.67878151,121
999,789.9051514,153,1830,9.338172913,81
1000,877.069397,155,1831,11.29648304,96
1001,1020.702148,169,1833,7.405427933,69
1002,860.0822144,155,1834,14.01047516,99
1003,930.2987061,163,1837,7.11034441,71
1004,781.6549072,154,1839,12.33905029,88
1005,1051.554321,167,1846,11.90605927,103
1006,2504.64917,250,1847,11.96784496,89
1007,713.7678833,141,1848,8.799206734,72
1008,722.8068237,136,1849,14.47497463,121
1012,876.0485229,165,1852,18.97685051,126
1014,84.99960327,84,1861,11.12780571,82
1015,980.8314819,157,1866,10.62250519,74
1016,6.131285191,29,1867,12.39862442,108
1017,839.4358521,146,1868,11.90443134,77
1018,1268.479248,193,1872,17.34427261,112
1021,7.326328278,29,1873,7.906790733,74
1023,1027.794312,182,1875,10.26652336,87
1027,765.0587769,158,1878,15.92490864,129
